258,44,280,44,280,64,258,64,?
﻿258,64,280,64,280,84,258,84,?
﻿258,84,280,84,280,104,258,104,?
﻿258,104,280,104,280,124,258,124,?
﻿258,124,280,124,280,144,258,144,?
﻿258,144,280,144,280,164,258,164,?
﻿258,164,280,164,280,184,258,184,?
﻿258,184,280,184,280,205,258,205,?
﻿225,60,253,60,253,80,225,80,?
﻿225,80,253,80,253,100,225,100,?
﻿225,100,253,100,253,120,225,120,?
﻿225,120,253,120,253,141,225,141,?
﻿225,141,253,141,253,161,225,161,?
﻿225,161,253,161,253,181,225,181,?
﻿225,181,253,181,253,201,225,201,?
﻿225,201,253,201,253,222,225,222,?
﻿225,222,253,222,253,242,225,242,?
﻿225,242,253,242,253,262,225,262,?
﻿225,262,253,262,253,283,225,283,?
﻿225,283,253,283,253,303,225,303,?
﻿225,303,253,303,253,323,225,323,?
﻿225,323,253,323,253,343,225,343,?
﻿225,343,253,343,253,364,225,364,?
﻿225,364,253,364,253,384,225,384,?
﻿225,384,253,384,253,404,225,404,?
﻿225,404,253,404,253,425,225,425,?
﻿195,60,222,60,222,80,195,80,?
﻿195,80,222,80,222,100,195,100,?
﻿195,100,222,100,222,120,195,120,?
﻿195,120,222,120,222,140,195,140,?
﻿195,140,222,140,222,161,195,161,?
﻿195,161,222,161,222,181,195,181,?
﻿195,181,222,181,222,201,195,201,?
﻿195,201,222,201,222,221,195,221,?
﻿195,221,222,221,222,242,195,242,?
﻿195,242,222,242,222,262,195,262,?
﻿195,262,222,262,222,282,195,282,?
﻿195,282,222,282,222,302,195,302,?
﻿195,302,222,302,222,322,195,322,?
﻿195,322,222,322,222,343,195,343,?
﻿195,343,222,343,222,363,195,363,?
﻿195,363,222,363,222,383,195,383,?
﻿195,383,222,383,222,403,195,403,?
﻿195,403,222,403,222,424,195,424,?
﻿167,61,194,61,194,81,167,81,?
﻿167,81,194,81,194,101,167,101,?
﻿167,101,194,101,194,121,167,121,?
﻿167,121,194,121,194,142,167,142,?
﻿167,142,194,142,194,162,167,162,?
﻿167,162,194,162,194,182,167,182,?
﻿167,182,194,182,194,202,167,202,?
﻿167,202,194,202,194,223,167,223,?
﻿167,223,194,223,194,243,167,243,?
﻿167,243,194,243,194,263,167,263,?
﻿167,263,194,263,194,284,167,284,?
﻿167,284,194,284,194,304,167,304,?
﻿167,304,194,304,194,324,167,324,?
﻿167,324,194,324,194,344,167,344,?
﻿167,344,194,344,194,365,167,365,?
﻿167,365,194,365,194,385,167,385,?
﻿167,385,194,385,194,405,167,405,?
﻿167,405,194,405,194,426,167,426,?
﻿138,60,166,60,166,80,138,80,?
﻿138,80,166,80,166,100,138,100,?
﻿138,100,166,100,166,120,138,120,?
﻿138,120,166,120,166,140,138,140,?
﻿138,140,166,140,166,160,138,160,?
﻿138,160,166,160,166,181,138,181,?
﻿138,181,166,181,166,201,138,201,?
﻿138,201,166,201,166,221,138,221,?
﻿138,221,166,221,166,241,138,241,?
﻿138,241,166,241,166,261,138,261,?
﻿138,261,166,261,166,281,138,281,?
﻿138,281,166,281,166,302,138,302,?
﻿138,302,166,302,166,322,138,322,?
﻿138,322,166,322,166,342,138,342,?
﻿138,342,166,342,166,362,138,362,?
